ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,balance_promedio_norm,balance_promedio_norm_lower,balance_promedio_norm_upper,churn_rate_norm,churn_rate_norm_lower,churn_rate_norm_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,productos_activos_norm,productos_activos_norm_lower,productos_activos_norm_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-27,84625659.59734851,15959303.774799187,157585311.2458431,84625659.59734851,84625659.59734851,2387823.8471611226,2387823.8471611226,2387823.8471611226,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-7969401.261612673,-7969401.261612673,-7969401.261612673,0.0,0.0,0.0,87013483.44450964
2023-12-04,85100446.16976395,9527068.224631011,156262070.71897307,85100446.16976395,85100446.16976395,-4974855.772613302,-4974855.772613302,-4974855.772613302,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-15332080.8813871,-15332080.8813871,-15332080.8813871,0.0,0.0,0.0,80125590.39715065
2023-12-11,85575232.74217941,-3842443.551587147,140078923.7191949,85575232.74217941,85575232.74217941,-11736631.666148035,-11736631.666148035,-11736631.666148035,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-22093856.77492183,-22093856.77492183,-22093856.77492183,0.0,0.0,0.0,73838601.07603137
2023-12-18,86050019.30340636,1186684.620303684,152711138.47364902,86050019.30340636,86050019.30340636,-14119630.414924987,-14119630.414924987,-14119630.414924987,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-24476855.52369878,-24476855.52369878,-24476855.52369878,0.0,0.0,0.0,71930388.88848138
2023-12-25,86524805.86463329,4090514.1620301683,147466432.88954294,86524805.86463329,86524805.86463329,-11204569.8276158,-11204569.8276158,-11204569.8276158,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-21561794.936389595,-21561794.936389595,-21561794.936389595,0.0,0.0,0.0,75320236.0370175
2024-01-01,86999592.42586024,6524586.396184247,155927339.88604927,86999592.42586024,86999592.42586024,-4048429.1361166174,-4048429.1361166174,-4048429.1361166174,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-14405654.244890414,-14405654.244890414,-14405654.244890414,0.0,0.0,0.0,82951163.28974362
2024-01-08,87474379.00471616,18205493.810682204,172579298.55401954,87474379.00471616,87474379.00471616,5337477.248403053,5337477.248403053,5337477.248403053,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-5019747.860370744,-5019747.860370744,-5019747.860370744,0.0,0.0,0.0,92811856.25311922
2024-01-15,87949165.58357209,32919635.281181064,178431471.21559268,87949165.58357209,87949165.58357209,13983303.77925779,13983303.77925779,13983303.77925779,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,3626078.670483995,3626078.670483995,3626078.670483995,0.0,0.0,0.0,101932469.36282988
2024-01-22,88423952.162428,27265057.60047537,179294351.6375383,88423952.162428,88423952.162428,18321867.52580511,18321867.52580511,18321867.52580511,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,7964642.417031311,7964642.417031311,7964642.417031311,0.0,0.0,0.0,106745819.6882331
2024-01-29,88898738.7344603,36256987.41528302,176701265.43285856,88898738.7344603,88898738.7344603,16581850.629124546,16581850.629124546,16581850.629124546,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,6224625.52035075,6224625.52035075,6224625.52035075,0.0,0.0,0.0,105480589.36358485
